Cod. Cliente;Data da Resposta;Nota NPS;Nota Metodologia;Nota Gestao;Nota Conhecimento;Nota Qualidade;Nota Comunicacao;Nota Prazos
TEZBJX;2024-05-14;1;2;5;1;1;2;1
TFDQZZ;2024-05-14;10;9;9;8;9;7;9
TFDSCR;2024-05-14;10;9;10;10;10;10;10
TFCQT9;2024-05-14;6;8;8;9;9;6;8
TFCSFC;2024-05-14;10;9;10;10;10;10;10
TEZME4;2024-05-14;5;5;5;5;5;5;5
TFDQFG;2024-05-14;9;7;10;8;9;9;10
T51706;2024-05-14;10;;;;;;
TFDQQE;2024-05-14;4;;;;;;
TFDOSY;2024-05-13;10;9;10;10;10;10;10
T00202;2024-05-13;10;10;10;10;10;10;10
TFCTOI;2024-05-13;10;10;10;10;10;10;10
TFCSNB;2024-05-13;6;5;7;7;7;7;5
TFDPX7;2024-05-10;9;;;;;;
TFDCY7;2024-05-08;10;10;10;9;9;9;8
TFCNXR;2024-05-08;9;6;9;9;8;8;7
TFDHQ1;2024-05-07;4;2;3;7;5;5;2
T28301;2024-05-07;9;;;;;;
TEZCRJ;2024-05-07;10;10;10;10;10;10;10
TEZOB3;2024-05-07;4;2;5;5;4;2;8
TEWBTY;2024-05-07;10;10;10;10;10;10;10
TFBZL7;2024-05-07;7;7;5;8;8;2;2
TFDBGH;2024-05-07;8;7;10;7;7;9;7
TAAOM6;2024-05-07;2;1;1;7;3;1;1
TFDGCT;2024-05-07;10;;;;;;
TEZF99;2024-05-07;10;10;9;10;10;10;9
T22498;2024-05-07;9;9;9;10;9;10;7
TFBLJT;2024-05-06;2;6;2;7;2;3;2
T03120;2024-05-02;0;2;2;6;1;0;0
TEWTV5;2024-04-30;9;;;;;;
TFCWLM;2024-04-30;1;;;;;;
TFCH84;2024-04-30;2;6;2;6;4;2;4
T21751;2024-04-26;10;7;10;7;7;8;8
T59698;2024-04-26;9;;;;;;
TFDAPD;2024-04-26;3;;;;;;
T41208;2024-04-26;9;;;;;;
T62516;2024-04-26;4;;;;;;
T25114;2024-04-26;4;;;;;;
TEZHFP;2024-04-23;10;10;10;10;10;10;10
T29112;2024-04-18;10;10;10;10;10;10;10
TFDIX5;2024-04-18;0;0;0;3;3;3;4
T12915;2024-04-18;9;8;9;8;9;9;9
TFCQEO;2024-04-17;8;;;;;;
T34111;2024-04-17;0;0;0;0;0;0;0
T27008;2024-04-16;10;10;10;10;10;10;10
TFDOLR;2024-04-16;8;8;9;10;10;10;9
TFDBM8;2024-04-16;3;6;7;10;7;6;6
TFDEGM;2024-04-16;1;;;;;;
TFDSAP;2024-04-16;10;;;;;;
TFDCFE;2024-04-16;0;3;0;7;2;2;0
T28076;2024-04-16;10;9;10;10;10;9;10
TFDJJS;2024-04-16;9;10;10;10;9;8;9
TCBSFX;2024-04-15;10;10;10;10;10;10;9
TEZIWK;2024-04-10;10;;;;;;
TEZIS3;2024-04-10;8;8;8;8;8;8;8
TFDA61;2024-04-09;10;;;;;;
T59248;2024-04-09;0;0;0;0;0;0;0
TFBW88;2024-04-04;6;6;8;10;8;8;8
T26561;2024-04-02;8;;;;;;
TFDRLG;2024-04-02;4;;;;;;
TFD885;2024-04-02;9;8;9;9;8;7;3
T45774;2024-04-02;10;;;;;;
T16235;2024-04-02;6;7;5;5;5;5;5
TFDRPD;2024-04-02;8;;;;;;
TFDIRR;2024-04-02;0;0;0;0;0;0;1
T43232;2024-04-02;8;6;8;8;8;8;8
TFBEST;2024-04-02;0;;;;;;
TEZLNF;2024-04-02;8;;;;;;
TFBXY4;2024-04-02;8;;;;;;
T51535;2024-04-02;6;;;;;;
TEZNT5;2024-04-02;9;;;;;;
TEZCKO;2024-04-02;10;;;;;;
TFDPF2;2024-03-26;9;;;;;;
TFCT26;2024-03-19;10;10;10;9;10;9;10
T01316;2024-03-19;0;5;8;8;5;5;5
TFDNK8;2024-03-14;10;;;;;;
T46334;2024-03-13;10;10;10;10;10;10;10
T36590;2024-03-12;10;10;10;9;9;9;9
TFCVZL;2024-03-12;10;10;10;10;10;10;10
T19815;2024-03-12;0;5;5;4;4;0;0
TFCHZZ;2024-03-12;3;8;8;3;3;5;0
TFDHP9;2024-03-11;10;9;9;9;9;9;9
TFDNI8;2024-03-08;9;;;;;;
TEXKGD;2024-03-07;4;;;;;;
TFBY31;2024-03-07;1;1;1;1;1;1;1
TFDGRG;2024-03-05;10;4;10;6;6;6;7
T12579;2024-03-05;10;9;10;10;10;10;10
TFBTFC;2024-03-05;2;1;1;4;1;2;0
TFDGYR;2024-03-05;9;9;9;9;9;9;9
T23755;2024-03-05;9;9;9;9;9;9;9
T09171;2024-03-05;8;8;8;8;8;8;8
TFDNRT;2024-03-05;10;10;10;10;10;10;10
TFDIEI;2024-03-05;9;5;8;8;8;7;7
T24687;2024-03-05;10;10;10;10;10;10;10
T02666;2024-03-05;0;7;0;3;0;2;0
TFDCTR;2024-03-05;5;;;;;;
TFDIEN;2024-03-05;10;;;;;;
TFBUAI;2024-03-05;2;6;6;2;2;0;8
